text,label
"The government has announced a new education policy to improve literacy rates.",1
"Scientists discovered a new species of bird in the Amazon rainforest.",1
"The stock market saw a significant rise today due to strong economic data.",1
"Drinking hot water cures all types of cancer instantly.",0
"Aliens have landed in New York City and taken control of the government.",0
"Eating chocolate daily guarantees 50 years of extra life.",0
"New technology aims to reduce carbon emissions globally.",1
"Celebrity claims the earth is flat and provides no scientific proof.",0
"NASA successfully launched a new satellite into orbit.",1
"Miracle pill allows humans to fly without wings.",0
